filename,timestamp_ms,algorithm,diameterMain_px,diameterSec_px,undistortedDiameterMain_px,undistortedDiameterSec_px,physicalDiameter_mm,widthMain_px,heightMain_px,axisRatioMain,widthSec_px,heightSec_px,axisRatioSec,centerMain_x,centerMain_y,centerSec_x,centerSec_y,angleMain_deg,angleSec_deg,circumferenceMain_px,circumferenceSec_px,confidenceMain,outlineConfidenceMain,confidenceSec,outlineConfidenceSec
1599578281923.bmp,1617807465097,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578281951.bmp,1617807465130,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578281990.bmp,1617807465163,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578282023.bmp,1617807465196,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578282051.bmp,1617807465229,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578282090.bmp,1617807465262,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578282123.bmp,1617807465295,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578282151.bmp,1617807465328,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578282190.bmp,1617807465361,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578282223.bmp,1617807465394,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578282256.bmp,1617807465427,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578282290.bmp,1617807465460,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578282323.bmp,1617807465493,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578282356.bmp,1617807465526,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578282390.bmp,1617807465559,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578282423.bmp,1617807465592,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578282456.bmp,1617807465625,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578282490.bmp,1617807465658,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578282523.bmp,1617807465691,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578282556.bmp,1617807465724,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578282585.bmp,1617807465757,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578282623.bmp,1617807465790,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578282656.bmp,1617807465823,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578282690.bmp,1617807465856,ExCuSe,0,17,-1,-1,-1,0,0,nan,12,17,0.705882,187,179,926.942,524.74,0,51.7851,0,45.8923,-1,-1,-1,0
1599578282723.bmp,1617807465889,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578282756.bmp,1617807465922,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578282790.bmp,1617807465955,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578282823.bmp,1617807465988,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578282856.bmp,1617807466021,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578282890.bmp,1617807466054,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578282923.bmp,1617807466087,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578282956.bmp,1617807466120,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578282990.bmp,1617807466153,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578283018.bmp,1617807466186,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578283056.bmp,1617807466219,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578283090.bmp,1617807466252,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578283123.bmp,1617807466285,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578283151.bmp,1617807466318,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578283190.bmp,1617807466351,ExCuSe,16,0,-1,-1,-1,10,16,0.625,0,0,nan,415,504.816,619,158,91.6035,0,41.3863,0,-1,0,-1,-1
1599578283223.bmp,1617807466384,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578283256.bmp,1617807466417,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578283290.bmp,1617807466450,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578283323.bmp,1617807466483,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578283351.bmp,1617807466516,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578283385.bmp,1617807466549,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578283423.bmp,1617807466582,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578283456.bmp,1617807466615,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578283490.bmp,1617807466648,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578283523.bmp,1617807466681,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578283556.bmp,1617807466714,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578283585.bmp,1617807466747,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578283623.bmp,1617807466780,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578283656.bmp,1617807466813,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578283685.bmp,1617807466846,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578283723.bmp,1617807466879,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578283751.bmp,1617807466912,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578283790.bmp,1617807466945,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578283823.bmp,1617807466978,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578283856.bmp,1617807467011,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578283890.bmp,1617807467044,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578283923.bmp,1617807467077,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578283956.bmp,1617807467110,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578283990.bmp,1617807467143,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578284023.bmp,1617807467176,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578284056.bmp,1617807467209,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578284090.bmp,1617807467242,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578284123.bmp,1617807467275,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578284156.bmp,1617807467308,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578284190.bmp,1617807467341,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578284223.bmp,1617807467374,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578284256.bmp,1617807467407,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578284290.bmp,1617807467440,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578284323.bmp,1617807467473,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578284356.bmp,1617807467506,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578284390.bmp,1617807467539,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578284423.bmp,1617807467572,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578284451.bmp,1617807467605,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578284490.bmp,1617807467638,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578284523.bmp,1617807467671,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578284556.bmp,1617807467704,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578284585.bmp,1617807467737,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578284623.bmp,1617807467770,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578284656.bmp,1617807467803,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578284690.bmp,1617807467836,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578284723.bmp,1617807467869,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578284756.bmp,1617807467902,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578284790.bmp,1617807467935,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578284823.bmp,1617807467968,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578284856.bmp,1617807468001,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578284890.bmp,1617807468034,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578284918.bmp,1617807468067,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578284951.bmp,1617807468100,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578284990.bmp,1617807468133,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578285023.bmp,1617807468166,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578285056.bmp,1617807468199,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578285090.bmp,1617807468232,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578285123.bmp,1617807468265,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578285156.bmp,1617807468298,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578285190.bmp,1617807468331,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578285223.bmp,1617807468364,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578285256.bmp,1617807468397,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578285290.bmp,1617807468430,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578285323.bmp,1617807468463,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578285356.bmp,1617807468496,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578285390.bmp,1617807468529,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578285423.bmp,1617807468562,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578285456.bmp,1617807468595,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578285485.bmp,1617807468628,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578285523.bmp,1617807468661,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578285556.bmp,1617807468694,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578285590.bmp,1617807468727,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578285623.bmp,1617807468760,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578285656.bmp,1617807468793,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578285690.bmp,1617807468826,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578285723.bmp,1617807468859,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578285756.bmp,1617807468892,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578285790.bmp,1617807468925,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578285823.bmp,1617807468958,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578285856.bmp,1617807468991,ExCuSe,0,19,-1,-1,-1,0,0,nan,17,19,0.894737,187,179,1117.63,236.399,0,0,0,56.5923,-1,-1,-1,0
1599578285890.bmp,1617807469024,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578285923.bmp,1617807469057,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578285956.bmp,1617807469090,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578285990.bmp,1617807469123,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578286023.bmp,1617807469156,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578286056.bmp,1617807469189,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578286090.bmp,1617807469222,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578286123.bmp,1617807469255,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578286156.bmp,1617807469288,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578286190.bmp,1617807469321,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578286223.bmp,1617807469354,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578286256.bmp,1617807469387,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578286290.bmp,1617807469420,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578286323.bmp,1617807469453,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578286356.bmp,1617807469486,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578286390.bmp,1617807469519,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578286423.bmp,1617807469552,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578286456.bmp,1617807469585,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578286490.bmp,1617807469618,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578286523.bmp,1617807469651,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578286556.bmp,1617807469684,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578286590.bmp,1617807469717,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578286623.bmp,1617807469750,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578286656.bmp,1617807469783,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578286690.bmp,1617807469816,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578286723.bmp,1617807469849,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578286756.bmp,1617807469882,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578286790.bmp,1617807469915,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578286823.bmp,1617807469948,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578286856.bmp,1617807469981,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578286885.bmp,1617807470014,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578286923.bmp,1617807470047,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578286956.bmp,1617807470080,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578286990.bmp,1617807470113,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578287023.bmp,1617807470146,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578287056.bmp,1617807470179,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578287090.bmp,1617807470212,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578287123.bmp,1617807470245,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578287156.bmp,1617807470278,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578287190.bmp,1617807470311,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578287223.bmp,1617807470344,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578287256.bmp,1617807470377,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578287290.bmp,1617807470410,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578287323.bmp,1617807470443,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578287356.bmp,1617807470476,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578287390.bmp,1617807470509,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578287423.bmp,1617807470542,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578287456.bmp,1617807470575,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578287490.bmp,1617807470608,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578287523.bmp,1617807470641,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578287556.bmp,1617807470674,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578287590.bmp,1617807470707,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578287623.bmp,1617807470740,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578287656.bmp,1617807470773,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578287690.bmp,1617807470806,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578287723.bmp,1617807470839,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
1599578287756.bmp,1617807470872,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,179,619,158,0,0,0,0,-1,-1,-1,-1
